period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Chiapas,Yajalon,0.200174
2013-01-01,2013,1,2013Q1,Chiapas,Zinacantan,0
2013-01-01,2013,1,2013Q1,Chihuahua,Ahumada,0.085941
2013-01-01,2013,1,2013Q1,Chihuahua,Aldama,1.430777
2013-01-01,2013,1,2013Q1,Chihuahua,Allende,0.211365
2013-01-01,2013,1,2013Q1,Chihuahua,Aquiles Serdan,0
2013-01-01,2013,1,2013Q1,Chihuahua,Ascension,0.500882
2013-01-01,2013,1,2013Q1,Chihuahua,Bachiniva,0.127264
2013-01-01,2013,1,2013Q1,Chihuahua,Balleza,0.838763
2013-01-01,2013,1,2013Q1,Chihuahua,Batopilas De Manuel Gomez Morin,0
2013-01-01,2013,1,2013Q1,Chihuahua,Bocoyna,0.355644
2013-01-01,2013,1,2013Q1,Chihuahua,Buenaventura,1.626602
2013-01-01,2013,1,2013Q1,Chihuahua,Camargo,3.489426
2013-01-01,2013,1,2013Q1,Chihuahua,Carichi,0
2013-01-01,2013,1,2013Q1,Chihuahua,Casas Grandes,0.026424
2013-01-01,2013,1,2013Q1,Chihuahua,Chihuahua,30.484375
2013-01-01,2013,1,2013Q1,Chihuahua,Chinipas,0.004021
2013-01-01,2013,1,2013Q1,Chihuahua,Coronado,0
2013-01-01,2013,1,2013Q1,Chihuahua,Coyame Del Sotol,0
2013-01-01,2013,1,2013Q1,Chihuahua,Cuauhtemoc,10.867359
2013-01-01,2013,1,2013Q1,Chihuahua,Cusihuiriachi,0
2013-01-01,2013,1,2013Q1,Chihuahua,Delicias,9.027186
2013-01-01,2013,1,2013Q1,Chihuahua,Dr. Belisario Dominguez,0
2013-01-01,2013,1,2013Q1,Chihuahua,El Tule,0.00767
2013-01-01,2013,1,2013Q1,Chihuahua,Galeana,0
2013-01-01,2013,1,2013Q1,Chihuahua,Gomez Farias,0.841558
2013-01-01,2013,1,2013Q1,Chihuahua,Gran Morelos,0.210538
2013-01-01,2013,1,2013Q1,Chihuahua,Guachochi,0.078796
2013-01-01,2013,1,2013Q1,Chihuahua,Guadalupe,0.004292
2013-01-01,2013,1,2013Q1,Chihuahua,Guadalupe Y Calvo,0.033568
2013-01-01,2013,1,2013Q1,Chihuahua,Guazapares,0.031005
2013-01-01,2013,1,2013Q1,Chihuahua,Guerrero,2.173517
2013-01-01,2013,1,2013Q1,Chihuahua,Hidalgo Del Parral,6.228288
2013-01-01,2013,1,2013Q1,Chihuahua,Huejotitan,0
2013-01-01,2013,1,2013Q1,Chihuahua,Ignacio Zaragoza,0.74385
2013-01-01,2013,1,2013Q1,Chihuahua,Janos,0
2013-01-01,2013,1,2013Q1,Chihuahua,Jimenez,4.119069
2013-01-01,2013,1,2013Q1,Chihuahua,Juarez,34.143611
2013-01-01,2013,1,2013Q1,Chihuahua,Julimes,0.256651
2013-01-01,2013,1,2013Q1,Chihuahua,La Cruz,0
2013-01-01,2013,1,2013Q1,Chihuahua,Lopez,0.093086
2013-01-01,2013,1,2013Q1,Chihuahua,Madera,1.456285
2013-01-01,2013,1,2013Q1,Chihuahua,Maguarichi,0
2013-01-01,2013,1,2013Q1,Chihuahua,Manuel Benavides,0
2013-01-01,2013,1,2013Q1,Chihuahua,Matachi,0.194575
2013-01-01,2013,1,2013Q1,Chihuahua,Matamoros,6.2e-4
2013-01-01,2013,1,2013Q1,Chihuahua,Meoqui,2.393218
2013-01-01,2013,1,2013Q1,Chihuahua,Morelos,0
2013-01-01,2013,1,2013Q1,Chihuahua,Moris,0
2013-01-01,2013,1,2013Q1,Chihuahua,Namiquipa,1.646702
2013-01-01,2013,1,2013Q1,Chihuahua,Nonoava,0
2013-01-01,2013,1,2013Q1,Chihuahua,Nuevo Casas Grandes,4.573895
2013-01-01,2013,1,2013Q1,Chihuahua,Ocampo,0.006527
2013-01-01,2013,1,2013Q1,Chihuahua,Ojinaga,2.061486
2013-01-01,2013,1,2013Q1,Chihuahua,Praxedis G. Guerrero,0.140586
2013-01-01,2013,1,2013Q1,Chihuahua,Riva Palacio,0
2013-01-01,2013,1,2013Q1,Chihuahua,Rosales,0.181471
2013-01-01,2013,1,2013Q1,Chihuahua,San Francisco De Borja,0.127342
2013-01-01,2013,1,2013Q1,Chihuahua,San Francisco De Conchos,0
2013-01-01,2013,1,2013Q1,Chihuahua,San Francisco Del Oro,0.02128
2013-01-01,2013,1,2013Q1,Chihuahua,Santa Barbara,0.220553
2013-01-01,2013,1,2013Q1,Chihuahua,Santa Isabel,0.001504
2013-01-01,2013,1,2013Q1,Chihuahua,Satevo,0.122107
2013-01-01,2013,1,2013Q1,Chihuahua,Saucillo,1.178447
2013-01-01,2013,1,2013Q1,Chihuahua,Temosachic,0
2013-01-01,2013,1,2013Q1,Chihuahua,Urique,0
2013-01-01,2013,1,2013Q1,Chihuahua,Uruachi,0.012123
2013-01-01,2013,1,2013Q1,Chihuahua,Valle De Zaragoza,0.524079
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Alvaro Obregon,22.644369
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Azcapotzalco,7.288848
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Benito Juarez,17.114136
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Coyoacan,14.410308
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Cuajimalpa De Morelos,3.836055
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Cuauhtemoc,22.798376
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Gustavo A. Madero,34.12528
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Iztacalco,9.729655
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Iztapalapa,43.910672
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,La Magdalena Contreras,3.612232
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Miguel Hidalgo,60.864462
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Milpa Alta,3.696978
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Tlahuac,11.006244
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Tlalpan,13.436533
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Venustiano Carranza,9.916677
2013-01-01,2013,1,2013Q1,Ciudad De Mexico,Xochimilco,5.310688
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Abasolo,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Acuna,7.80855
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Allende,2.210036
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Arteaga,0.014937
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Candela,0.018457
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Castanos,0.562336
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Cuatro Cienegas,0.248415
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Escobedo,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Francisco I. Madero,2.159319
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Frontera,1.724642
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,General Cepeda,0.096203
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Guerrero,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Hidalgo,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Jimenez,7.6e-5
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Juarez,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Lamadrid,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Matamoros,2.928175
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Monclova,5.547795
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Morelos,0.108635
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Muzquiz,3.590826
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Nadadores,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Nava,0.786273
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Ocampo,0.089271
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Parras,0.394087
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Piedras Negras,9.112793
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Progreso,0
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Ramos Arizpe,0.671078
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Sabinas,3.365878
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Sacramento,0.016853
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Saltillo,7.854813
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,San Buenaventura,0.894631
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,San Juan De Sabinas,1.518248
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,San Pedro,2.747338
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Sierra Mojada,0.076821
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Torreon,22.844065
