study,subgroup,sample,fixed_effects,clusters,relative_quarter,calendar_quarter,is_reference_period,term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimate_pct,conf.low_pct,conf.high_pct
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,1,2023 Q1,FALSE,relative_quarter::1:florida,-0.0324756434939978,0.00287487119238152,-11.296382105765,0.00000000000000403545072819239,-0.0382559594370927,-0.0266953275509029,-3.19539722369475,-3.75334430377419,-2.63421569414882
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,2,2023 Q2,FALSE,relative_quarter::2:florida,-0.0415876915980131,0.00209232119913851,-19.8763419379092,0.000000000000000000000000826771059403507,-0.045794585325115,-0.0373807978709112,-4.07347878462944,-4.47618380246528,-3.66907606105018
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,3,2023 Q3,FALSE,relative_quarter::3:florida,0.014666606500109,0.00473920962794089,3.09473681299921,0.00328232682081778,0.00513778689850362,0.0241954261017143,1.47746889275833,0.515100795824242,2.44905105152655
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,4,2023 Q4,FALSE,relative_quarter::4:florida,0.0189331768359951,0.00409044577784884,4.62863410597563,0.0000281946956894637,0.010708784380875,0.0271575692911153,1.91135459503948,1.07663286385775,2.75296971343411
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,5,2024 Q1,FALSE,relative_quarter::5:florida,0.0309434564249754,0.00542037878839504,5.70872583503296,0.000000696244499990522,0.0200450544335392,0.0418418584164116,3.14271816574361,2.02473056556967,4.27295668064398
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,6,2024 Q2,FALSE,relative_quarter::6:florida,0.0296666243364137,0.00415233436471519,7.14456537713061,0.00000000441566536984936,0.0213177965374399,0.0380154521353876,3.01110627451167,2.15466440439358,3.87472836181484
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,7,2024 Q3,FALSE,relative_quarter::7:florida,0.00831434941532063,0.00436541862461727,1.90459383859196,0.062834895111821,-0.000462913002915032,0.0170916118335563,0.834900961082008,-0.046280587522185,1.72385091416545
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,8,2024 Q4,FALSE,relative_quarter::8:florida,0.0172865962417698,0.00434477237280651,3.97871160062719,0.000233184491965783,0.00855084589503951,0.0260223465885001,1.74368741287829,0.858750880291925,2.63638839485423
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,0.00858362416758097,0.00482214195308433,1.78004385832954,0.0813993537994821,-0.00111194204948838,0.0182791903846503,0.862056910099152,-0.111132407100101,1.84472773880147
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,0.0109068167995827,0.00522924600860426,2.08573411570931,0.0423422465009339,0.000392713018515135,0.0214209205806502,1.09665129602248,0.0392790140367749,2.16519954962382
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,0.0152134963061385,0.00440890421715602,3.45062980659445,0.00117570377480651,0.00634880024408859,0.0240781923681885,1.53298106417421,0.6368996594601,2.43704127076509
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,0.00866807509730741,0.00424423423998891,2.04231779095446,0.0466341586536849,0.000134470214886856,0.017201679979728,0.8705751642615,0.0134479256411524,1.7350480860717
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,0.00587142926804345,0.00441660511427349,1.32939873865297,0.190000431174455,-0.00300875048541578,0.0147516090215027,0.588869989340846,-0.300422873175366,1.48609510009836
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,0.0182417279477246,0.00402050149519829,4.53717725749158,0.0000382084137727093,0.0101579678983987,0.0263254879970505,1.84091245857763,1.02097351893269,2.6675064505481
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,0.00535943502882918,0.00385848605578524,1.3889994550566,0.171244006879196,-0.00239857114674105,0.0131174412043994,0.537382249215135,-0.239569687347696,1.32038522535185
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-9,2020 Q3,FALSE,relative_quarter::-9:florida,0.00365495109071121,0.00262524714888029,1.39223123897881,0.170269330129339,-0.00162346207418142,0.00893336425560385,0.366163856943613,-0.162214497247959,0.897338584109297
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-8,2020 Q4,FALSE,relative_quarter::-8:florida,0.00579831608128243,0.00282701523239589,2.05103814611157,0.0457429812912229,0.000114220994694108,0.0114824111678708,0.581515885347494,0.0114227518160259,1.15485870948389
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-7,2021 Q1,FALSE,relative_quarter::-7:florida,0.0152753976320584,0.00269087408554579,5.67674188625592,0.000000778565899811011,0.00986503266726967,0.020685762596847,1.53926628485641,0.991385250640731,2.09011958870586
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-6,2021 Q2,FALSE,relative_quarter::-6:florida,0.0214599257111474,0.00142587811219095,15.0503226942539,0.0000000000000000000838069243474144,0.0185930056186406,0.0243268458036541,2.16918459428261,1.87669318122656,2.46251576002439
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-5,2021 Q3,FALSE,relative_quarter::-5:florida,0.00609079504814374,0.00123525247567734,4.93080982881972,0.0000101998452159451,0.00360715348610549,0.00857443661018199,0.610938165688335,0.361366709374766,0.861130238418828
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-4,2021 Q4,FALSE,relative_quarter::-4:florida,0.0115690070648747,0.00111447760246532,10.3806546127828,0.0000000000000734936360966785,0.0093281996607642,0.0138098144689852,1.16361868449362,0.937184291399107,1.39056104236577
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-3,2022 Q1,FALSE,relative_quarter::-3:florida,0.0144822168658249,0.001399442083224,10.3485646454629,0.000000000000081517591432915,0.0116684499720126,0.0172959837596371,1.45875922436858,1.17367918904681,1.74464253804487
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-2,2022 Q2,FALSE,relative_quarter::-2:florida,0.00946497177009111,0.000816017074890409,11.5989874003093,0.00000000000000158365485295055,0.0078242594765016,0.0111056840636806,0.950990627143478,0.785494898335215,1.11675810970242
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-1,2022 Q3,TRUE,Reference quarter,0,,,,0,0,0,0,0
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,0,2022 Q4,FALSE,relative_quarter::0:florida,0.00828358396207126,0.000658877450738929,12.5722681096177,0.0000000000000000847005019231049,0.00695882205860072,0.0096083458655418,0.831798777370874,0.698309092239691,0.965465421739986
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,1,2023 Q1,FALSE,relative_quarter::1:florida,-0.0191653356055357,0.00170862609305497,-11.2168107951978,0.00000000000000517087212099013,-0.0226007586160157,-0.0157299125950557,-1.89828482312365,-2.23472747050862,-1.56068436528052
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,2,2023 Q2,FALSE,relative_quarter::2:florida,-0.0212510799841808,0.00189666874745377,-11.2044235519301,0.00000000000000537473933577666,-0.025064588091511,-0.0174375718768507,-2.10268668497082,-2.47530793432489,-1.72864172852751
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,3,2023 Q3,FALSE,relative_quarter::3:florida,0.0147042890092998,0.00270940438889587,5.42712969299208,0.00000185605481703901,0.00925666637252616,0.0201519116460735,1.48129289046102,0.929964180943466,2.03563322639106
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,4,2023 Q4,FALSE,relative_quarter::4:florida,0.018706851494409,0.00232592850457084,8.04274570677769,0.000000000189797050839511,0.0140302587993699,0.0233834441894481,1.88829208281318,1.41291448045591,2.36589803908358
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,5,2024 Q1,FALSE,relative_quarter::5:florida,0.0401326284836871,0.0022409611297638,17.9086678258971,0.0000000000000000000000687243000736667,0.0356268741456991,0.044638382821675,4.09488245016738,3.62691155467296,4.56496666502781
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,6,2024 Q2,FALSE,relative_quarter::6:florida,0.0410295623649345,0.00285358049653979,14.378274036666,0.000000000000000000508244443708766,0.035292054234913,0.046767070494956,4.18829056128907,3.59222100925793,4.78778989701822
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,7,2024 Q3,FALSE,relative_quarter::7:florida,0.0227977146352314,0.00263280251207628,8.65910547056285,0.0000000000226388893234007,0.0175041103944904,0.0280913188759723,2.30595686363084,1.76582051188445,2.8489600647478
Regional TWFE event study,Central,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,8,2024 Q4,FALSE,relative_quarter::8:florida,0.0269682438703448,0.00235775394011124,11.4381078583088,0.00000000000000260012238805678,0.0222276618484317,0.031708825892258,2.73351780563613,2.24765368733744,3.22169067071711
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,-0.0135334491060054,0.00296535769861535,-4.5638504630739,0.0000349743821521179,-0.0194957003636301,-0.0075711978483808,-1.34422837078076,-1.93068881966275,-0.75426085272533
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,-0.0105296278531686,0.00302432443351828,-3.48164626006053,0.00107228401035414,-0.0166104396775326,-0.00444881602880452,-1.0474385386029,-1.64732469849959,-0.443893470560275
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,-0.00677901689846791,0.00261437934049463,-2.59297371022881,0.0125749080312708,-0.0120355788700811,-0.00152245492685469,-0.675609119723719,-1.19634409878013,-0.152129658027056
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,-0.0110108995464147,0.00257791678569747,-4.27123932296971,0.0000913951508347303,-0.016194148638001,-0.00582765045482843,-1.09505014742968,-1.60637283770266,-0.581070263788286
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,-0.0137863083954889,0.0026829512911756,-5.13848627846244,0.00000502213006859914,-0.0191807435145394,-0.00839187327643844,-1.3691712454467,-1.89979635377942,-0.835675979916262
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,-0.00131416235624336,0.00233871014924424,-0.561917583787814,0.576786807760212,-0.00601645427032238,0.00338812955783566,-0.131329922303458,-0.599839165178961,0.339387575657524
Regional TWFE event study,South,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,-0.0109798942872682,0.00243931486223014,-4.50122059160082,0.0000430348859755053,-0.0158844655340575,-0.00607532304047895,-1.09198352628818,-1.57589727519495,-0.605690558166827
