mx_state,mx_municipality,validation_status,resolution,official_state,official_municipality,candidate_count,candidate_states,drop_reason
Chiapas,Mazatan,resolved,exact_same_state,Chiapas,Mazatan,2,Chiapas | Sonora,NA
Chiapas,Metapa,resolved,exact_same_state,Chiapas,Metapa,1,Chiapas,NA
Chiapas,Mitontic,resolved,exact_same_state,Chiapas,Mitontic,1,Chiapas,NA
Chiapas,Montecristo De Guerrero,resolved,exact_same_state,Chiapas,Montecristo De Guerrero,1,Chiapas,NA
Chiapas,Motozintla,resolved,exact_same_state,Chiapas,Motozintla,1,Chiapas,NA
Chiapas,Nicolas Ruiz,resolved,exact_same_state,Chiapas,Nicolas Ruiz,1,Chiapas,NA
Chiapas,Ocosingo,resolved,exact_same_state,Chiapas,Ocosingo,1,Chiapas,NA
Chiapas,Ocotepec,resolved,exact_same_state,Chiapas,Ocotepec,2,Chiapas | Puebla,NA
Chiapas,Ocozocoautla De Espinosa,resolved,exact_same_state,Chiapas,Ocozocoautla De Espinosa,1,Chiapas,NA
Chiapas,Ostuacan,resolved,exact_same_state,Chiapas,Ostuacan,1,Chiapas,NA
Chiapas,Osumacinta,resolved,exact_same_state,Chiapas,Osumacinta,1,Chiapas,NA
Chiapas,Oxchuc,resolved,exact_same_state,Chiapas,Oxchuc,1,Chiapas,NA
Chiapas,Palenque,resolved,exact_same_state,Chiapas,Palenque,1,Chiapas,NA
Chiapas,Pantelho,resolved,exact_same_state,Chiapas,Pantelho,1,Chiapas,NA
Chiapas,Pantepec,resolved,exact_same_state,Chiapas,Pantepec,2,Chiapas | Puebla,NA
Chiapas,Pichucalco,resolved,exact_same_state,Chiapas,Pichucalco,1,Chiapas,NA
Chiapas,Pijijiapan,resolved,exact_same_state,Chiapas,Pijijiapan,1,Chiapas,NA
Chiapas,Pueblo Nuevo Solistahuacan,resolved,exact_same_state,Chiapas,Pueblo Nuevo Solistahuacan,1,Chiapas,NA
Chiapas,Rayon,resolved,exact_same_state,Chiapas,Rayon,4,Chiapas | Estado De Mexico | San Luis Potosi | Sonora,NA
Chiapas,Reforma,resolved,exact_same_state,Chiapas,Reforma,1,Chiapas,NA
Chiapas,Sabanilla,resolved,exact_same_state,Chiapas,Sabanilla,1,Chiapas,NA
Chiapas,Salto De Agua,resolved,exact_same_state,Chiapas,Salto De Agua,1,Chiapas,NA
Chiapas,San Andres Duraznal,resolved,exact_same_state,Chiapas,San Andres Duraznal,1,Chiapas,NA
Chiapas,San Cristobal De Las Casas,resolved,exact_same_state,Chiapas,San Cristobal De Las Casas,1,Chiapas,NA
Chiapas,San Fernando,resolved,exact_same_state,Chiapas,San Fernando,2,Chiapas | Tamaulipas,NA
Chiapas,San Juan Cancuc,resolved,exact_same_state,Chiapas,San Juan Cancuc,1,Chiapas,NA
Chiapas,San Lucas,resolved,exact_same_state,Chiapas,San Lucas,2,Chiapas | Michoacan De Ocampo,NA
Chiapas,Santiago El Pinar,resolved,exact_same_state,Chiapas,Santiago El Pinar,1,Chiapas,NA
Chiapas,Siltepec,resolved,exact_same_state,Chiapas,Siltepec,1,Chiapas,NA
Chiapas,Simojovel,resolved,exact_same_state,Chiapas,Simojovel,1,Chiapas,NA
Chiapas,Sitala,resolved,exact_same_state,Chiapas,Sitala,1,Chiapas,NA
Chiapas,Socoltenango,resolved,exact_same_state,Chiapas,Socoltenango,1,Chiapas,NA
Chiapas,Solosuchiapa,resolved,exact_same_state,Chiapas,Solosuchiapa,1,Chiapas,NA
Chiapas,Soyalo,resolved,exact_same_state,Chiapas,Soyalo,1,Chiapas,NA
Chiapas,Suchiapa,resolved,exact_same_state,Chiapas,Suchiapa,1,Chiapas,NA
Chiapas,Suchiate,resolved,exact_same_state,Chiapas,Suchiate,1,Chiapas,NA
Chiapas,Sunuapa,resolved,exact_same_state,Chiapas,Sunuapa,1,Chiapas,NA
Chiapas,Tapachula,resolved,exact_same_state,Chiapas,Tapachula,1,Chiapas,NA
Chiapas,Tapalapa,resolved,exact_same_state,Chiapas,Tapalapa,1,Chiapas,NA
Chiapas,Tapilula,resolved,exact_same_state,Chiapas,Tapilula,1,Chiapas,NA
Chiapas,Tecpatan,resolved,exact_same_state,Chiapas,Tecpatan,1,Chiapas,NA
Chiapas,Tenejapa,resolved,exact_same_state,Chiapas,Tenejapa,1,Chiapas,NA
Chiapas,Teopisca,resolved,exact_same_state,Chiapas,Teopisca,1,Chiapas,NA
Chiapas,Tila,resolved,exact_same_state,Chiapas,Tila,1,Chiapas,NA
Chiapas,Tonala,resolved,exact_same_state,Chiapas,Tonala,2,Chiapas | Jalisco,NA
Chiapas,Totolapa,resolved,exact_same_state,Chiapas,Totolapa,1,Chiapas,NA
Chiapas,Tumbala,resolved,exact_same_state,Chiapas,Tumbala,1,Chiapas,NA
Chiapas,Tuxtla Chico,resolved,exact_same_state,Chiapas,Tuxtla Chico,1,Chiapas,NA
Chiapas,Tuxtla Gutierrez,resolved,exact_same_state,Chiapas,Tuxtla Gutierrez,1,Chiapas,NA
Chiapas,Tuzantan,resolved,exact_same_state,Chiapas,Tuzantan,1,Chiapas,NA
Chiapas,Tzimol,resolved,exact_same_state,Chiapas,Tzimol,1,Chiapas,NA
Chiapas,Union Juarez,resolved,exact_same_state,Chiapas,Union Juarez,1,Chiapas,NA
Chiapas,Venustiano Carranza,resolved,exact_same_state,Chiapas,Venustiano Carranza,4,Chiapas | Ciudad De Mexico | Michoacan De Ocampo | Puebla,NA
Chiapas,Villa Comaltitlan,resolved,exact_same_state,Chiapas,Villa Comaltitlan,1,Chiapas,NA
Chiapas,Villa Corzo,resolved,exact_same_state,Chiapas,Villa Corzo,1,Chiapas,NA
Chiapas,Villaflores,resolved,exact_same_state,Chiapas,Villaflores,1,Chiapas,NA
Chiapas,Yajalon,resolved,exact_same_state,Chiapas,Yajalon,1,Chiapas,NA
Chiapas,Zinacantan,resolved,exact_same_state,Chiapas,Zinacantan,1,Chiapas,NA
Chihuahua,Ahumada,resolved,exact_same_state,Chihuahua,Ahumada,1,Chihuahua,NA
Chihuahua,Aldama,resolved,exact_same_state,Chihuahua,Aldama,3,Chiapas | Chihuahua | Tamaulipas,NA
Chihuahua,Allende,resolved,exact_same_state,Chihuahua,Allende,3,Chihuahua | Coahuila De Zaragoza | Nuevo Leon,NA
Chihuahua,Aquiles Serdan,resolved,exact_same_state,Chihuahua,Aquiles Serdan,1,Chihuahua,NA
Chihuahua,Ascension,resolved,exact_same_state,Chihuahua,Ascension,1,Chihuahua,NA
Chihuahua,Bachiniva,resolved,exact_same_state,Chihuahua,Bachiniva,1,Chihuahua,NA
Chihuahua,Balleza,resolved,exact_same_state,Chihuahua,Balleza,1,Chihuahua,NA
Chihuahua,Batopilas,resolved,safe_alias_same_state,Chihuahua,Batopilas De Manuel Gomez Morin,NA,NA,NA
Chihuahua,Bocoyna,resolved,exact_same_state,Chihuahua,Bocoyna,1,Chihuahua,NA
Chihuahua,Buenaventura,resolved,exact_same_state,Chihuahua,Buenaventura,1,Chihuahua,NA
Chihuahua,Camargo,resolved,exact_same_state,Chihuahua,Camargo,2,Chihuahua | Tamaulipas,NA
Chihuahua,Carichi,resolved,exact_same_state,Chihuahua,Carichi,1,Chihuahua,NA
Chihuahua,Casas Grandes,resolved,exact_same_state,Chihuahua,Casas Grandes,1,Chihuahua,NA
Chihuahua,Chihuahua,resolved,exact_same_state,Chihuahua,Chihuahua,1,Chihuahua,NA
Chihuahua,Chinipas,resolved,exact_same_state,Chihuahua,Chinipas,1,Chihuahua,NA
Chihuahua,Coronado,resolved,exact_same_state,Chihuahua,Coronado,1,Chihuahua,NA
Chihuahua,Coyame Del Sotol,resolved,exact_same_state,Chihuahua,Coyame Del Sotol,1,Chihuahua,NA
Chihuahua,Cuauhtemoc,resolved,exact_same_state,Chihuahua,Cuauhtemoc,4,Chihuahua | Ciudad De Mexico | Colima | Zacatecas,NA
Chihuahua,Cusihuiriachi,resolved,exact_same_state,Chihuahua,Cusihuiriachi,1,Chihuahua,NA
Chihuahua,Delicias,resolved,exact_same_state,Chihuahua,Delicias,1,Chihuahua,NA
Chihuahua,Dr. Belisario Dominguez,resolved,exact_same_state,Chihuahua,Dr. Belisario Dominguez,1,Chihuahua,NA
Chihuahua,El Tule,resolved,exact_same_state,Chihuahua,El Tule,1,Chihuahua,NA
Chihuahua,Galeana,resolved,exact_same_state,Chihuahua,Galeana,2,Chihuahua | Nuevo Leon,NA
Chihuahua,Gomez Farias,resolved,exact_same_state,Chihuahua,Gomez Farias,3,Chihuahua | Jalisco | Tamaulipas,NA
Chihuahua,Gran Morelos,resolved,exact_same_state,Chihuahua,Gran Morelos,1,Chihuahua,NA
Chihuahua,Guachochi,resolved,exact_same_state,Chihuahua,Guachochi,1,Chihuahua,NA
