period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2015-01-01,2015,1,2015Q1,Oaxaca,San Martin De Los Cansecos,0
2015-01-01,2015,1,2015Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,7.814211
2015-01-01,2015,1,2015Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.043263
2015-01-01,2015,1,2015Q1,Oaxaca,Santiago Chazumba,0.333713
2015-01-01,2015,1,2015Q1,Oaxaca,Villa Hidalgo,0.379726
2015-01-01,2015,1,2015Q1,Oaxaca,Zapotitlan Del Rio,0.002415
2015-01-01,2015,1,2015Q1,San Luis Potosi,Ahualulco,0.97497
2015-04-01,2015,2,2015Q2,Chiapas,Cintalapa,1.940454
2015-04-01,2015,2,2015Q2,Chihuahua,Rosario,0
2015-04-01,2015,2,2015Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,29.630579
2015-04-01,2015,2,2015Q2,Guerrero,Apaxtla,0.881157
2015-04-01,2015,2,2015Q2,Oaxaca,Miahuatlan De Porfirio Diaz,11.929748
2015-04-01,2015,2,2015Q2,Oaxaca,San Blas Atempa,1.36e-4
2015-04-01,2015,2,2015Q2,Oaxaca,San Juan Mixtepec - Distr. 08 -,1.16e-4
2015-04-01,2015,2,2015Q2,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2015-04-01,2015,2,2015Q2,Oaxaca,San Martin De Los Cansecos,0
2015-04-01,2015,2,2015Q2,Oaxaca,San Pedro Mixtepec - Distr. 22 -,6.301791
2015-04-01,2015,2,2015Q2,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.076823
2015-04-01,2015,2,2015Q2,Oaxaca,Santiago Chazumba,0.353078
2015-04-01,2015,2,2015Q2,Oaxaca,Villa Hidalgo,0.372592
2015-04-01,2015,2,2015Q2,Oaxaca,Zapotitlan Del Rio,0.002573
2015-04-01,2015,2,2015Q2,San Luis Potosi,Ahualulco,1.236542
2015-07-01,2015,3,2015Q3,Chiapas,Cintalapa,2.255566
2015-07-01,2015,3,2015Q3,Chihuahua,Rosario,0
2015-07-01,2015,3,2015Q3,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,33.856619
2015-07-01,2015,3,2015Q3,Guerrero,Apaxtla,0.878181
2015-07-01,2015,3,2015Q3,Oaxaca,Miahuatlan De Porfirio Diaz,15.170257
2015-07-01,2015,3,2015Q3,Oaxaca,San Blas Atempa,1.27e-4
2015-07-01,2015,3,2015Q3,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.002716
2015-07-01,2015,3,2015Q3,Oaxaca,San Juan Mixtepec - Distr. 26 -,4.42e-4
2015-07-01,2015,3,2015Q3,Oaxaca,San Martin De Los Cansecos,0
2015-07-01,2015,3,2015Q3,Oaxaca,San Pedro Mixtepec - Distr. 22 -,7.576716
2015-07-01,2015,3,2015Q3,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.071485
2015-07-01,2015,3,2015Q3,Oaxaca,Santiago Chazumba,0.359078
2015-07-01,2015,3,2015Q3,Oaxaca,Villa Hidalgo,0.474628
2015-07-01,2015,3,2015Q3,Oaxaca,Zapotitlan Del Rio,0.002368
2015-07-01,2015,3,2015Q3,San Luis Potosi,Ahualulco,1.468017
2015-10-01,2015,4,2015Q4,Chiapas,Cintalapa,2.113093
2015-10-01,2015,4,2015Q4,Chihuahua,Rosario,0
2015-10-01,2015,4,2015Q4,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,30.095066
2015-10-01,2015,4,2015Q4,Guerrero,Apaxtla,0.90971
2015-10-01,2015,4,2015Q4,Oaxaca,Miahuatlan De Porfirio Diaz,12.252567
2015-10-01,2015,4,2015Q4,Oaxaca,San Blas Atempa,8.81e-4
2015-10-01,2015,4,2015Q4,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.007349
2015-10-01,2015,4,2015Q4,Oaxaca,San Juan Mixtepec - Distr. 26 -,0.002535
2015-10-01,2015,4,2015Q4,Oaxaca,San Martin De Los Cansecos,0
2015-10-01,2015,4,2015Q4,Oaxaca,San Pedro Mixtepec - Distr. 22 -,7.279534
2015-10-01,2015,4,2015Q4,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.042634
