"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Veracruz","Las Choapas",1.40374821493903e-05,0,6.32707998109759e-06,4.45935756100015e-06,7.28082932804566e-05,4.96688049695923e-06,2.35631205570315e-06,1.52808790052921e-06,1.10706231813581e-06,0,5.0491121534172e-05,0,9.30110900429066e-07,2.5000865934333e-05,1.23929239816596e-05,1.7576159693356e-06,4.79416314154761e-06,1.69849969057473e-05,4.69254176794009e-06,0,6.29145510376395e-06,8.69342048480383e-07,2.53076764388198e-05,7.40683051372251e-06,1.30950691953589e-05,1.00210811697913e-05,0,4.67543827997462e-06,4.40380928792532e-06,0,5.86024212564243e-06,2.49438587549802e-06,8.16992568881708e-06,0.000396309384942304,4.18348727313015e-07,3.70801073573173e-06,3.63693502505975e-06,6.07181966379088e-06,4.94990782137591e-06,6.926717293767e-07,5.51908470270306e-05,0,1.52242640350032e-05,0.000253576359333865,4.90100821022711e-06,4.18348727313015e-07,3.23023862567949e-05,3.65107063793335e-06,0,7.82504842865337e-06,0
"Veracruz","Las Minas",6.55787898365381e-07,0,0,0,2.83627293077402e-06,4.46472985407345e-07,2.09033814354979e-07,0,2.1694491660095e-07,0,1.61402305688878e-06,0,0,1.97527479734211e-06,4.2597873095593e-07,0,0,0,0,0,0,0,2.1694491660095e-07,2.1694491660095e-07,0,2.1694491660095e-07,0,0,0,0,2.1694491660095e-07,0,4.18348727313015e-07,6.88432492219734e-07,0,0,0,0,0,0,0,0,2.1694491660095e-07,1.11441122317566e-06,2.41678408209332e-07,0,2.1694491660095e-07,2.1694491660095e-07,0,2.1694491660095e-07,0
"Veracruz","Las Vigas De Ramirez",2.09033814354979e-07,0,4.46754084010402e-07,0,3.67975709323379e-06,8.64540614117303e-07,2.41678408209332e-07,0,2.37439171052366e-07,0,8.69342048480383e-07,0,0,6.20015256895187e-06,8.44608556872001e-07,0,2.37439171052366e-07,4.46754084010402e-07,0,0,2.09314912958036e-07,0,1.11865046033263e-06,2.41678408209332e-07,2.1694491660095e-07,0,0,6.63417902008296e-07,4.50993321167368e-07,0,2.09033814354979e-07,0,4.18348727313015e-07,9.41980141228947e-07,0,0,0,2.09033814354979e-07,0,0,2.09314912958036e-07,0,8.64540614117303e-07,1.75026706429574e-06,2.37439171052366e-07,0,0,0,0,2.41678408209332e-07,0
"Veracruz","Lerdo De Tejada",2.65169150942436e-06,0,5.00601660343727e-06,6.84193255062768e-07,3.46192702950823e-05,2.15095010643718e-06,0,1.08967773156728e-06,2.1694491660095e-07,0,2.89252144696268e-06,0,4.2597873095593e-07,1.16647805171273e-05,3.57248063973033e-06,4.46754084010402e-07,2.22515058126232e-06,2.37439171052366e-07,2.41678408209332e-07,0,6.27944738874108e-07,2.41678408209332e-07,4.50993321167368e-07,8.6877985127427e-07,4.50993321167368e-07,5.80143247048526e-06,0,0,2.90721408218055e-06,2.09314912958036e-07,1.70180026594945e-06,2.19984971758598e-06,3.14226267161743e-06,1.1628869794644e-05,2.1694491660095e-07,0,8.36416356022973e-07,2.91753603717412e-06,8.72451716363275e-07,0,8.06248385282243e-06,0,9.05096310217628e-07,3.82764033797201e-05,2.25835737232279e-06,0,1.11441122317566e-06,2.26118594160262e-06,0,4.64972693329162e-06,0
"Veracruz","Los Reyes",4.04773822382649e-05,0,7.52442723399996e-06,8.18702917678254e-06,0.000554626474507171,5.66871251360848e-05,1.70620259498523e-05,0,0,0,3.62616941644918e-05,4.46754084010402e-07,5.71960716687905e-06,4.3188739107043e-05,5.77826136095346e-06,1.15044658351596e-06,6.03815773013207e-06,8.72451716363275e-07,8.14403323268744e-06,0,4.2597873095593e-07,0,2.03165787279623e-06,2.93364451513097e-06,2.61593724768712e-06,1.11441122317566e-06,0,6.71329004254267e-07,4.14053583777618e-05,0,1.29974268621226e-05,3.9108115460292e-06,7.8588397467158e-06,3.55239339948673e-05,0,2.50653621490096e-06,4.01484377238431e-06,1.46626243956638e-05,6.85903298026615e-06,0,4.92885136971838e-06,0,4.29328512063124e-06,9.33065582158327e-05,1.40443982416277e-05,0,1.28317044003338e-06,1.04761739939883e-05,2.09033814354979e-07,4.03477582962962e-06,0
"Veracruz","Magdalena",6.67938237768318e-07,0,6.7445404927687e-06,1.75366300564354e-06,0.000283377293775627,9.89374659320695e-06,4.18067628709958e-07,0,0,0,4.76519558764411e-06,2.01978863199635e-06,1.09391696872425e-06,2.23384498496531e-05,4.86780141916664e-06,3.76554053539392e-06,8.9294597081469e-07,4.79117579261698e-07,4.46754084010402e-07,0,1.11865046033263e-06,0,1.12628046397554e-06,9.01705543731679e-07,2.21567709693977e-06,6.71329004254267e-07,0,2.09033814354979e-07,2.54121263817071e-05,0,0,1.31185689533382e-06,4.46472985407345e-07,2.2659612302967e-05,0,4.2597873095593e-07,1.99562251245593e-06,5.81884313373294e-06,8.65383909926474e-07,0,2.56289226424356e-05,0,2.85620498801932e-06,2.74570472106163e-05,1.43503917293544e-05,0,1.06223054553668e-05,6.22912529771722e-06,0,2.95046690449338e-06,6.35574742517022e-07
"Veracruz","Maltrata",4.79117579261698e-07,0,9.25590564669043e-07,0,0.000227108565847772,1.3273980012227e-06,0,0,0,0,0,0,0,2.38471741240054e-06,6.84193255062768e-07,0,0,2.1694491660095e-07,0,0,1.4919231557853e-06,0,0,6.1161392439837e-05,2.09033814354979e-07,0,0,2.1694491660095e-07,1.35340638913228e-05,0,8.44608556872001e-07,4.54384087653316e-07,2.91697383996801e-06,1.5604513957805e-06,0,0,2.09314912958036e-07,2.18854784885406e-06,4.26259829558986e-07,0,6.27663640271051e-07,0,2.1694491660095e-07,4.59049813362367e-06,6.14387322953749e-06,0,4.18067628709958e-07,9.01705543731679e-07,0,1.08572476787522e-06,0
"Veracruz","Manlio Fabio Altamirano",2.4830840067661e-06,0,1.5569260700291e-06,0,5.34164501015231e-05,1.82672873633276e-06,2.09314912958036e-07,0,0,0,2.44576736295228e-06,4.83356816418664e-07,0,2.18543818097117e-06,4.50712222564311e-07,1.26267618558196e-06,6.35293643913965e-07,1.57713922587746e-06,8.97466306574713e-07,0,4.46754084010402e-07,0,7.12317513157098e-07,0,8.72451716363275e-07,2.06897451661005e-06,0,4.18067628709958e-07,4.27730270850997e-06,0,4.33889833201901e-07,2.41678408209332e-07,1.7091491709893e-06,5.27879606657795e-06,2.09033814354979e-07,1.9187451825504e-06,2.09033814354979e-07,3.22608691698604e-06,6.50834749802851e-07,0,3.53968433167653e-06,2.09033814354979e-07,4.57778559701462e-06,1.65212838144453e-05,1.31920580037368e-06,0,1.32768427468761e-06,0,2.37439171052366e-07,8.36135257419917e-07,0
"Veracruz","Mariano Escobedo",2.09314912958036e-07,0,4.79117579261698e-07,0,0.000197464233774257,0,0,2.09033814354979e-07,0,0,1.13518657623014e-06,0,1.98714403814199e-06,2.15095010643718e-06,1.32033536964775e-06,4.54384087653316e-07,4.50993321167368e-07,4.33889833201901e-07,0,0,0,0,2.09033814354979e-07,2.20041708965394e-06,2.1694491660095e-07,0,0,0,1.06220431999173e-05,0,6.4292364755688e-07,2.09033814354979e-07,1.90616203034495e-06,8.84602055766212e-07,0,0,0,1.91610924147781e-05,1.11836936172957e-06,0,1.07385552707534e-06,0,1.70391492382372e-06,3.5210283830429e-06,8.93508168020804e-07,0,9.30110900429066e-07,8.26221474020789e-06,2.09033814354979e-07,2.87994346961908e-06,0
"Veracruz","Martinez De La Torre",1.10368494465449e-05,0,1.23410699034696e-05,1.09869719803215e-05,0.000175480766292468,1.77257520268061e-05,3.35977496028634e-06,3.31482313796776e-06,0,0,5.06375289192916e-05,0,4.50712222564311e-07,9.81783077327993e-05,3.47292527386723e-05,2.204370053346e-06,4.26797576352502e-06,6.89663072268304e-06,1.27152875721075e-05,0,6.69058568523722e-06,2.04424102500167e-06,1.6777080252279e-05,2.04148364114263e-05,1.98352650845824e-05,1.06070334680088e-05,0,1.86757070589799e-06,1.33205097412078e-05,0,7.29454631319415e-05,5.47580043250372e-06,6.79212010628773e-05,6.18945530440007e-05,0,4.91175305661476e-06,8.42530172223566e-06,5.0238480994153e-06,4.40549587954366e-06,4.58623324810283e-07,2.85501034683563e-05,2.18430861169709e-06,5.94362981132523e-06,0.000477145182901105,7.05292250344718e-06,2.37680631015457e-06,1.69137334827883e-05,4.13242851258962e-06,2.09033814354979e-07,1.62961278538417e-05,2.1694491660095e-07
