"date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","No identificado","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Total","Utah","Vermont","Virginia","Washington","Washington DC","West Virginia","Wisconsin","Wyoming"
2015-07-01,52.25144,14.678774,139.112355,49.564192,1899.720758,151.852089,21.227378,12.004277,231.473644,247.703121,6.657361,28.397876,319.928392,69.092075,32.931364,46.769253,47.289627,94.80392,8.728254,45.300684,19.643714,72.075524,138.63865,27.199609,51.034612,9.016504,33.195608,66.673599,5.788092,114.825504,37.426245,252.114158,70.860734,167.869015,35.217827,59.107172,61.103098,69.681279,74.090732,1.568563,4.952549,64.823878,11.427901,102.097295,912.936831,6373.137785,45.143109,3.86047,95.884222,155.791634,3.40662,3.463357,69.172027,13.560819
2015-10-01,49.654287,9.774035,141.938648,43.849975,1873.336972,132.745797,19.55889,10.17521,238.056247,230.401522,7.913182,24.517695,309.064973,63.251246,29.668653,44.32766,40.447754,92.781841,6.079662,42.140601,19.777403,62.430438,113.172575,30.354195,42.433695,7.227466,32.238121,61.262075,6.331413,105.767,34.825805,236.383028,53.112351,142.065475,33.514135,50.143563,55.572522,58.947574,63.902425,1.800282,4.850472,55.438733,11.662253,94.189343,862.70181,5975.730578,42.673428,3.805435,81.235358,113.479046,3.52239,5.499077,64.368965,11.357877
2016-01-01,51.849706,10.180014,165.6832,44.821736,2000.789803,130.58569,18.203425,9.58248,257.458075,234.353354,6.915306,20.326522,332.251153,65.708781,29.042045,42.720807,32.490172,76.779514,1.769124,36.95925,17.121497,60.759842,126.076666,25.747816,39.663987,3.536972,33.178003,69.922034,4.560659,98.827586,35.260105,223.194397,56.352933,128.456212,14.067978,44.272733,53.726483,61.518002,55.293371,2.552157,4.808795,60.830951,6.080789,88.467066,880.685734,6086.219377,45.421554,4.780949,70.333458,113.882982,2.59343,5.524546,70.380389,9.869144
2016-04-01,66.406687,10.418436,148.092642,52.743094,1905.908374,187.235984,25.555565,18.645707,345.281609,253.56138,3.135516,42.345207,331.878655,97.499402,38.193422,50.840745,54.536046,64.456694,1.03091,49.202995,14.126012,57.864521,93.755881,33.558548,46.25834,2.707087,34.481379,84.362115,5.38759,131.808174,37.557093,304.447087,102.646911,213.190667,4.625374,65.415224,59.621459,99.62394,64.679552,0.546371,5.722171,105.684018,6.295407,110.918008,941.439817,6791.287978,65.728667,1.760378,69.312696,195.353475,3.760169,3.401789,68.830675,9.448313
2016-07-01,55.462327,10.643635,160.331804,53.603,2112.121123,166.791903,21.616569,12.511405,252.485973,249.757153,7.372095,30.533368,332.047178,73.055581,34.120982,46.813697,46.013029,88.850548,2.245081,45.416606,21.845652,77.601037,126.432067,28.668359,48.770826,5.331322,38.527463,74.560564,5.555326,110.483545,37.685941,250.870388,65.35807,180.325265,16.878603,57.761004,57.421822,75.154566,65.706236,2.42162,5.802099,75.051876,8.65112,110.076813,969.875481,6730.860398,52.098652,5.067981,88.920248,173.962069,3.623135,6.509301,70.591577,11.477313
2016-10-01,56.640863,9.368241,167.37455,52.797795,2142.867032,164.586336,21.451458,11.221285,269.379467,247.205714,7.520863,27.887907,342.267141,73.239317,34.560767,48.470333,45.473673,94.860418,1.864097,43.852135,19.97259,72.725771,130.543721,30.674097,48.107041,4.864268,38.302016,73.856073,5.557143,107.683018,38.03179,254.39812,64.575036,166.665839,16.541104,55.567664,57.135886,71.960309,64.024024,2.516841,5.621754,72.04112,8.441512,109.014578,994.588734,6760.885132,52.10988,5.094114,85.622331,149.481988,3.057,6.399738,72.261897,10.558743
2017-01-01,59.146174,8.022682,190.571068,51.710038,2136.90272,154.529921,18.014389,11.096297,305.930906,261.201181,7.401124,22.181751,344.472114,75.657466,31.248346,47.22766,39.734226,89.003463,2.2176,37.832846,17.628316,71.575618,140.608584,27.61263,47.265035,4.765169,33.4193,77.274935,5.435089,99.041741,38.229118,241.371226,65.182089,163.415718,12.609887,53.032897,59.056275,67.763221,59.766584,2.764766,4.132418,79.504412,6.317054,118.080822,1025.790486,6789.145284,47.21244,6.480133,83.588396,139.012446,2.67347,6.031615,78.492415,9.909007
2017-04-01,64.141186,9.291913,184.471616,59.125776,2299.897254,192.953446,21.561919,13.044568,306.519314,287.617568,8.286727,30.464091,369.038295,81.351889,35.03343,52.565241,45.602157,102.298292,1.926234,47.94479,22.465348,81.677985,139.744539,33.837842,57.1429,5.60837,39.496243,80.592815,5.769688,115.965058,41.95416,270.16136,78.437313,185.916008,19.200944,64.297725,64.36056,74.96246,72.244657,2.98299,5.051006,84.730086,8.483371,123.473752,1156.512761,7469.323214,54.62487,5.615175,96.255365,162.881388,3.011972,6.748025,80.601016,11.379756
2017-07-01,61.828382,9.219697,179.408002,57.266507,2280.446295,188.22113,21.399238,12.991123,271.726256,273.8043,8.363876,32.859548,371.798906,82.455799,36.603016,52.634709,52.396032,101.665735,2.346407,47.689308,22.714778,92.052785,141.695569,32.483011,56.786229,6.086853,40.912967,82.812142,5.697253,113.95704,42.710532,267.289685,59.550236,201.141819,19.674369,66.140927,65.07853,82.225017,72.339984,3.015117,5.124867,81.577554,9.24783,127.81132,1148.645744,7454.709611,55.355821,5.701031,100.086987,199.099284,2.924023,6.91179,80.142154,12.592097
2017-10-01,64.325579,9.488539,188.188437,59.279773,2400.885972,208.171143,21.138805,12.141742,304.711625,283.249074,8.760249,32.908432,377.072606,82.46696,36.88569,54.543587,53.73309,109.059844,2.050253,47.297099,23.230037,87.204032,149.456052,33.964049,56.622688,6.086946,41.944982,82.939716,5.798066,111.46194,44.263247,275.614692,59.662716,189.199884,20.102363,64.548551,65.641272,84.780686,72.961859,3.116124,5.17811,82.485487,9.572168,128.762856,1205.704468,7714.691077,58.636874,5.868775,98.559576,179.859363,2.992246,6.914766,83.012241,12.185746
2018-01-01,54.249835,7.803983,202.951076,49.999713,2192.741974,185.63808,17.348561,10.154019,297.80808,240.666322,7.379232,23.933903,308.756958,73.787679,30.930607,47.365565,38.297131,83.390448,2.287192,32.795282,18.704926,73.462739,179.637284,23.175765,45.297222,5.237009,31.252517,79.851418,5.59552,95.056166,46.625341,229.961948,78.650159,152.823588,14.249115,53.713856,57.935195,71.359514,55.359599,2.471987,3.653454,75.763563,7.179312,111.477984,1134.258728,6945.560754,54.330344,6.880475,80.343102,146.026902,2.915742,7.257748,76.34476,10.422132
2018-04-01,77.165406,10.275021,222.536058,61.862848,2746.761318,234.650056,23.710171,14.358573,362.035777,338.108799,9.759098,38.395939,414.74915,99.598876,43.504632,62.045387,53.098281,123.854607,2.171254,55.191882,26.761809,98.634035,181.931853,38.649039,65.673074,6.540262,46.666135,97.55933,6.382495,169.045295,54.359944,312.471313,39.490556,215.559184,22.745435,75.742088,76.754852,93.642043,80.861752,3.633487,5.965774,99.330643,10.578358,148.991957,1385.290434,8877.129993,69.18264,6.631749,113.885697,206.433003,4.928316,7.765881,97.577255,13.631172
2018-07-01,68.753175,9.987727,212.163276,53.259579,2486.378865,239.709441,21.944536,13.531079,307.932848,303.169686,9.042293,37.577114,372.666426,92.393741,41.426629,56.253468,55.640182,112.86594,2.439036,50.901856,25.227034,102.687514,171.585992,34.846878,60.31727,6.204911,43.269008,89.177917,6.005593,148.337955,51.510996,287.468949,35.734002,209.341634,21.797999,72.632295,70.408783,93.052744,75.570733,3.325411,5.534048,89.368269,10.631304,143.169152,1249.198042,8166.597341,63.702794,6.229807,108.393063,217.068573,5.643459,7.936191,90.012926,13.169198
2018-10-01,72.487999,10.035138,215.720905,55.53419,2694.387666,237.996186,22.599317,13.21167,335.913575,317.725375,9.704719,38.981033,404.145813,95.35984,42.235685,59.421718,58.175659,121.419866,2.216695,52.81961,26.633109,100.392125,174.969251,37.116607,62.375092,6.369041,45.876829,92.102602,6.437975,143.531702,54.027465,308.444058,73.157552,205.512771,23.089284,73.684098,72.927745,98.50284,79.799403,3.546823,5.788506,90.088859,11.240993,143.840054,1325.092604,8628.639044,69.10553,6.584625,109.901109,197.870872,3.388361,8.12695,96.121079,12.900471
2019-01-01,68.124893,10.132788,209.526865,50.131746,2406.021833,210.513121,19.993498,11.491626,326.313094,288.866091,8.848335,27.050607,370.705084,82.436842,35.774371,53.278371,42.379313,107.805294,1.950612,45.14248,24.228342,84.904459,153.658991,31.755153,52.917161,5.799348,40.837615,84.592661,5.689315,128.396851,51.823904,277.852676,29.688536,178.095172,21.313242,62.782269,65.967176,76.556865,69.557927,3.283713,5.189933,82.983482,9.456781,127.464057,1223.160694,7693.194982,59.382006,6.050892,96.433057,148.49881,3.199938,7.042959,86.342647,11.801486
2019-04-01,81.209295,11.657902,244.739707,60.488789,2827.298892,277.903324,24.074354,14.894837,373.142942,358.683849,10.381283,41.155361,419.184247,99.837331,43.549568,64.705402,55.453055,130.320546,2.37522,56.790167,29.263413,106.141437,181.478665,40.378768,67.47672,7.415914,49.915774,100.091321,7.159287,156.322215,61.920261,327.78112,36.677212,230.955711,24.704258,82.872433,78.050264,94.445563,85.988079,3.843548,6.386008,103.982783,11.580244,156.81985,1441.262892,9220.571743,72.786781,7.243697,119.684424,204.964141,3.745505,8.7129,98.920319,13.754165
2019-07-01,69.520349,17.756014,271.258053,62.816524,2867.209861,299.92656,22.291609,15.054531,345.166358,309.042131,7.833772,48.933954,384.979072,106.373115,50.327797,67.72075,70.865407,96.166771,6.6854,49.802787,27.966693,124.467456,209.461063,37.947875,77.514439,11.44298,53.330342,111.364517,8.822665,146.145022,71.734088,316.145631,35.864574,254.205356,50.570161,98.546191,73.902203,111.596761,86.256454,2.64466,5.297044,97.731504,13.920018,171.63062,1595.840105,9550.436144,76.927102,6.69973,108.627294,257.521377,2.791508,11.287459,106.644842,15.857595
