"adm2_name","adm2_name1","adm2_name2","adm2_name3","adm2_pcode","adm1_name","adm1_name1","adm1_name2","adm1_name3","adm1_pcode","adm0_name","adm0_name1","adm0_name2","adm0_name3","adm0_pcode","valid_on","valid_to","area_sqkm","version","lang","lang1","lang2","lang3","adm2_ref_n","center_lat","center_lon","mean_intensity","mean_pga"
"San Andrés Huaxpaltepec",,,,"MX20090","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,87.6306403,"v02","es",,,,"San Andres Huaxpaltepec",16.34118292,-97.93462525,3.89331283896991,1.72677275781511
"San Andrés Huayápam",,,,"MX20091","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,27.57585423,"v02","es",,,,"San Andres Huayápam",17.1285991,-96.66728068,3.46070792157982,0.668818521797082
"San Andrés Ixtlahuaca",,,,"MX20092","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,28.81030521,"v02","es",,,,"San Andres Ixtlahuaca",17.05883914,-96.85764627,3.63949407166177,0.894074674241511
"San Andrés Lagunas",,,,"MX20093","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,50.02103666,"v02","es",,,,"San Andres Lagunas",17.58978304,-97.52814894,3.65538194838357,1.09217205684129
"San Andrés Nuxiño",,,,"MX20094","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,64.0045874,"v02","es",,,,"San Andres Nuxino",17.2287532,-97.06983135,3.68219061226716,0.986351382826899
"San Andrés Paxtlán",,,,"MX20095","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,57.08305687,"v02","es",,,,"San Andres Paxtlán",16.21228073,-96.51636585,3.35876052865358,0.565325329311267
"San Andrés Sinaxtla",,,,"MX20096","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,22.60764615,"v02","es",,,,"San Andres Sinaxtla",17.48541174,-97.27334695,3.60526982272021,0.946515429701018
"San Andrés Solaga",,,,"MX20097","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,48.63238372,"v02","es",,,,"San Andres Solaga",17.27450538,-96.2206,,
"San Andrés Tenejapan",,,,"MX30140","Veracruz de Ignacio de la Llave",,,,"MX30","México",,,,"MX",2021-06-18,,21.90480915,"v02","es",,,,"San Andres Tenejapan",18.77153666,-97.09598292,3.3191716658811,0.540667981394307
"San Andrés Teotilálpam",,,,"MX20098","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,145.51115827,"v02","es",,,,"San Andres Teotilálpam",17.95112842,-96.64844171,3.26835010515415,0.496794498710941
"San Andrés Tepetlapa",,,,"MX20099","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,14.39892501,"v02","es",,,,"San Andres Tepetlapa",17.66241327,-98.38937771,4.19467127559627,3.28164572112285
"San Andrés Tuxtla",,,,"MX30141","Veracruz de Ignacio de la Llave",,,,"MX30","México",,,,"MX",2021-06-18,,956.85491836,"v02","es",,,,"San Andres Tuxtla",18.46336725,-95.19831538,,
