"state","municipality","year","quarter","remittances_musd","mean_intensity","event"
"Aguascalientes","Cosío",2013,1,381.639,0,NA
"Aguascalientes","Cosío",2013,2,418.806,0,NA
"Aguascalientes","Cosío",2013,3,450.624,0,NA
"Aguascalientes","Cosío",2013,4,415.966,0,NA
"Aguascalientes","Cosío",2014,1,382.609,0,NA
"Aguascalientes","Cosío",2014,2,516.586,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Cosío",2014,3,437.124,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Cosío",2014,4,474.983,0,NA
"Aguascalientes","Cosío",2015,1,425.509,0,NA
"Aguascalientes","Cosío",2015,2,504.558,0,NA
"Aguascalientes","Cosío",2015,3,489.504,0,NA
"Aguascalientes","Cosío",2015,4,458.668,0,NA
"Aguascalientes","Cosío",2016,1,400.584,0,NA
"Aguascalientes","Cosío",2016,2,527.346,0,NA
"Aguascalientes","Cosío",2016,3,532.115,0,NA
"Aguascalientes","Cosío",2016,4,497.69,0,NA
"Aguascalientes","Cosío",2017,1,455.583,0,NA
"Aguascalientes","Cosío",2017,2,592.531,0,NA
"Aguascalientes","Cosío",2017,3,569.799,0,"2017_M7.1_matzaco"
"Aguascalientes","Cosío",2017,4,480.784,0,NA
"Aguascalientes","Cosío",2018,1,477.717,0,"2018_M7.2_pinotepa"
"Aguascalientes","Cosío",2018,2,558.68,0,NA
"Aguascalientes","Cosío",2018,3,513.314,0,NA
"Aguascalientes","Cosío",2018,4,529.762,0,NA
"Aguascalientes","Cosío",2019,1,516.31,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Cosío",2019,2,600.788,0,NA
"Aguascalientes","Cosío",2019,3,653.958,0,NA
"Aguascalientes","Cosío",2019,4,627.819,0,NA
"Aguascalientes","Cosío",2020,1,596.901,0,NA
"Aguascalientes","Cosío",2020,2,678.277,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Cosío",2020,3,739.281,0,NA
"Aguascalientes","Cosío",2020,4,767.108,0,NA
"Aguascalientes","Cosío",2021,1,611.792,0,NA
"Aguascalientes","Cosío",2021,2,1002.697,0,NA
"Aguascalientes","Cosío",2021,3,1006.253,0,"2021_M7.0_acapulco"
"Aguascalientes","Cosío",2021,4,1084.044,0,NA
"Aguascalientes","Cosío",2022,1,886.365,0,NA
"Aguascalientes","Cosío",2022,2,1157.106,0,NA
"Aguascalientes","Cosío",2022,3,972.692,0,"2022_M6.8_aguililla"
"Aguascalientes","Cosío",2022,4,965.481,0,NA
"Aguascalientes","Cosío",2023,1,856.711,0,NA
"Aguascalientes","Cosío",2023,2,991.971,0,NA
"Aguascalientes","Cosío",2023,3,1059.245,0,NA
"Aguascalientes","Cosío",2023,4,979.019,0,NA
"Aguascalientes","Cosío",2024,1,822.001,0,NA
"Aguascalientes","Cosío",2024,2,993.196,0,NA
"Aguascalientes","Cosío",2024,3,932.156,0,NA
"Aguascalientes","Cosío",2024,4,772.979,0,NA
"Aguascalientes","Cosío",2025,1,748.116,0,NA
"Aguascalientes","Cosío",2025,2,784.85,0,NA
"Aguascalientes","Cosío",2025,3,650.252,0,NA
"Aguascalientes","Cosío",2025,4,574.551,0,NA
"Aguascalientes","El Llano",2013,1,1288.662,0,NA
"Aguascalientes","El Llano",2013,2,1643.225,0,NA
