state,municipality,matched_quarters,total_quarters,fully_matched
Chihuahua,Matachí,48,48,TRUE
Chihuahua,Matamoros,48,48,TRUE
Chihuahua,Meoqui,48,48,TRUE
Chihuahua,Morelos,48,48,TRUE
Chihuahua,Moris,48,48,TRUE
Chihuahua,Namiquipa,48,48,TRUE
Chihuahua,Nonoava,48,48,TRUE
Chihuahua,Nuevo Casas Grandes,48,48,TRUE
Chihuahua,Ocampo,48,48,TRUE
Chihuahua,Ojinaga,48,48,TRUE
Chihuahua,Praxedis G. Guerrero,48,48,TRUE
Chihuahua,Riva Palacio,48,48,TRUE
Chihuahua,Rosales,48,48,TRUE
Chihuahua,San Francisco de Borja,48,48,TRUE
Chihuahua,San Francisco de Conchos,48,48,TRUE
Chihuahua,San Francisco del Oro,48,48,TRUE
Chihuahua,Santa Bárbara,48,48,TRUE
Chihuahua,Santa Isabel,48,48,TRUE
Chihuahua,Satevó,48,48,TRUE
Chihuahua,Saucillo,48,48,TRUE
Chihuahua,Urique,48,48,TRUE
Chihuahua,Uruachi,48,48,TRUE
Chihuahua,Valle de Zaragoza,48,48,TRUE
Ciudad de México,Azcapotzalco,48,48,TRUE
Ciudad de México,Benito Juárez,48,48,TRUE
Ciudad de México,Coyoacán,48,48,TRUE
Ciudad de México,Cuajimalpa de Morelos,48,48,TRUE
Ciudad de México,Cuauhtémoc,48,48,TRUE
Ciudad de México,Gustavo A. Madero,48,48,TRUE
Ciudad de México,Iztacalco,48,48,TRUE
Ciudad de México,Iztapalapa,48,48,TRUE
Ciudad de México,La Magdalena Contreras,48,48,TRUE
Ciudad de México,Miguel Hidalgo,48,48,TRUE
Ciudad de México,Milpa Alta,48,48,TRUE
Ciudad de México,Tlalpan,48,48,TRUE
Ciudad de México,Tláhuac,48,48,TRUE
Ciudad de México,Venustiano Carranza,48,48,TRUE
Ciudad de México,Xochimilco,48,48,TRUE
Ciudad de México,Álvaro Obregón,48,48,TRUE
Coahuila,Abasolo,48,48,TRUE
Coahuila,Acuña,48,48,TRUE
Coahuila,Allende,48,48,TRUE
Coahuila,Arteaga,48,48,TRUE
Coahuila,Candela,48,48,TRUE
Coahuila,Castaños,48,48,TRUE
